origin,destination,region,cluster,route_exposure,beta_lane,region_beta,lane_premium_beta
Nhava Sheva (JNPT),Jebel Ali,Middle East,6,hormuz,2.588468926553671,2.6076144067796596,-0.01914548022598872
Nhava Sheva (JNPT),Dammam,Middle East,6,hormuz,2.580810734463276,2.6076144067796596,-0.026803672316383587
Nhava Sheva (JNPT),Bandar Abbas,Middle East,6,hormuz,2.6344180790960436,2.6076144067796596,0.02680367231638403
Nhava Sheva (JNPT),Kuwait City,Middle East,6,hormuz,2.603785310734462,2.6076144067796596,-0.0038290960451976552
Nhava Sheva (JNPT),Hamad Port (Doha),Middle East,6,hormuz,2.6650508474576258,2.6076144067796596,0.05743644067796616
Nhava Sheva (JNPT),Sohar,Middle East,6,hormuz,2.603785310734462,2.6076144067796596,-0.0038290960451976552
Nhava Sheva (JNPT),Jeddah,Red Sea / East Africa,0,red_sea,2.588468926553671,2.588468926553671,0.0
Nhava Sheva (JNPT),Port Sudan,Red Sea / East Africa,0,red_sea,2.527203389830507,2.588468926553671,-0.061265536723163816
Nhava Sheva (JNPT),Djibouti,Red Sea / East Africa,0,red_sea,2.5654943502824845,2.588468926553671,-0.022974576271186375
Nhava Sheva (JNPT),Aqaba,Red Sea / East Africa,0,red_sea,2.588468926553671,2.588468926553671,0.0
Nhava Sheva (JNPT),Suez,Red Sea / East Africa,0,red_sea,2.5961271186440666,2.588468926553671,0.0076581920903957545
Nhava Sheva (JNPT),Piraeus,Europe (Mediterranean),2,suez,2.4046723163841794,2.4506214689265526,-0.045949152542373195
Nhava Sheva (JNPT),Genoa,Europe (Mediterranean),2,suez,2.4506214689265526,2.4506214689265526,0.0
Nhava Sheva (JNPT),Barcelona,Europe (Mediterranean),2,suez,2.4812542372881343,2.4506214689265526,0.030632768361581686
Nhava Sheva (JNPT),Marseille,Europe (Mediterranean),2,suez,2.504228813559321,2.4506214689265526,0.053607344632768505
Nhava Sheva (JNPT),Valencia,Europe (Mediterranean),2,suez,2.427646892655366,2.4506214689265526,-0.02297457627118682
Nhava Sheva (JNPT),Gioia Tauro,Europe (Mediterranean),2,suez,2.504228813559321,2.4506214689265526,0.053607344632768505
Nhava Sheva (JNPT),Ambarli (Istanbul),Europe (Mediterranean),2,suez,2.3740395480225978,2.4506214689265526,-0.07658192090395488
Nhava Sheva (JNPT),Rotterdam,Europe (North),2,suez,2.427646892655366,2.4506214689265526,-0.02297457627118682
Nhava Sheva (JNPT),Hamburg,Europe (North),2,suez,2.534861581920903,2.4506214689265526,0.08424011299435019
