origin,destination,region,route_exposure,cluster,month,horizon,current_rate_usd_feu,forecast_rate_usd_feu,pct_change,regional_pct_change,lane_premium_pct_change,seasonal_pct_change,low_rate_usd_feu,high_rate_usd_feu
Nhava Sheva (JNPT),Jebel Ali,Middle East,hormuz,6,2026-08,1,868.0,904.0,4.1,4.1,-0.0,0.0,701.0,1003.0
Nhava Sheva (JNPT),Dammam,Middle East,hormuz,6,2026-08,1,946.0,985.0,4.1,4.1,-0.0,0.0,764.0,1093.0
Nhava Sheva (JNPT),Bandar Abbas,Middle East,hormuz,6,2026-08,1,966.0,1006.0,4.2,4.1,0.0,0.0,777.0,1119.0
Nhava Sheva (JNPT),Kuwait City,Middle East,hormuz,6,2026-08,1,862.0,897.0,4.1,4.1,-0.0,0.0,695.0,997.0
Nhava Sheva (JNPT),Hamad Port (Doha),Middle East,hormuz,6,2026-08,1,842.0,877.0,4.2,4.1,0.1,0.0,675.0,977.0
Nhava Sheva (JNPT),Sohar,Middle East,hormuz,6,2026-08,1,884.0,920.0,4.1,4.1,-0.0,0.0,713.0,1023.0
Nhava Sheva (JNPT),Jeddah,Red Sea / East Africa,red_sea,0,2026-08,1,1051.0,1094.0,4.1,4.1,0.0,0.0,848.0,1215.0
Nhava Sheva (JNPT),Port Sudan,Red Sea / East Africa,red_sea,0,2026-08,1,1505.0,1565.0,4.0,4.1,-0.1,0.0,1222.0,1734.0
Nhava Sheva (JNPT),Djibouti,Red Sea / East Africa,red_sea,0,2026-08,1,1349.0,1404.0,4.1,4.1,-0.0,0.0,1091.0,1558.0
Nhava Sheva (JNPT),Aqaba,Red Sea / East Africa,red_sea,0,2026-08,1,1317.0,1371.0,4.1,4.1,0.0,0.0,1063.0,1522.0
Nhava Sheva (JNPT),Suez,Red Sea / East Africa,red_sea,0,2026-08,1,1491.0,1552.0,4.1,4.1,0.0,0.0,1203.0,1724.0
Nhava Sheva (JNPT),Piraeus,Europe (Mediterranean),suez,2,2026-08,1,2311.0,2399.0,3.8,3.9,-0.1,0.0,1897.0,2646.0
Nhava Sheva (JNPT),Genoa,Europe (Mediterranean),suez,2,2026-08,1,2452.0,2547.0,3.9,3.9,0.0,0.0,2005.0,2814.0
Nhava Sheva (JNPT),Barcelona,Europe (Mediterranean),suez,2,2026-08,1,2478.0,2575.0,3.9,3.9,0.0,0.0,2020.0,2848.0
Nhava Sheva (JNPT),Marseille,Europe (Mediterranean),suez,2,2026-08,1,2602.0,2705.0,4.0,3.9,0.1,0.0,2117.0,2995.0
Nhava Sheva (JNPT),Valencia,Europe (Mediterranean),suez,2,2026-08,1,2501.0,2597.0,3.8,3.9,-0.0,0.0,2049.0,2867.0
Nhava Sheva (JNPT),Gioia Tauro,Europe (Mediterranean),suez,2,2026-08,1,2648.0,2753.0,4.0,3.9,0.1,0.0,2154.0,3048.0
Nhava Sheva (JNPT),Ambarli (Istanbul),Europe (Mediterranean),suez,2,2026-08,1,2467.0,2560.0,3.8,3.9,-0.1,0.0,2031.0,2820.0
Nhava Sheva (JNPT),Rotterdam,Europe (North),suez,2,2026-08,1,3120.0,3240.0,3.8,3.9,-0.0,0.0,2556.0,3576.0
Nhava Sheva (JNPT),Hamburg,Europe (North),suez,2,2026-08,1,3395.0,3531.0,4.0,3.9,0.1,0.0,2754.0,3914.0
Nhava Sheva (JNPT),Antwerp,Europe (North),suez,2,2026-08,1,2975.0,3092.0,3.9,3.9,0.1,0.0,2424.0,3421.0
Nhava Sheva (JNPT),Felixstowe,Europe (North),suez,2,2026-08,1,3072.0,3193.0,3.9,3.9,0.0,0.0,2505.0,3531.0
Nhava Sheva (JNPT),Le Havre,Europe (North),suez,2,2026-08,1,3196.0,3320.0,3.9,3.9,0.0,0.0,2613.0,3668.0
Nhava Sheva (JNPT),New York/New Jersey,US East Coast,suez_panama,3,2026-08,1,3122.0,3197.0,2.4,2.4,0.0,0.0,2768.0,3409.0
Nhava Sheva (JNPT),Savannah,US East Coast,suez_panama,3,2026-08,1,3068.0,3141.0,2.4,2.4,-0.0,0.0,2723.0,3347.0
Nhava Sheva (JNPT),Norfolk,US East Coast,suez_panama,3,2026-08,1,3267.0,3339.0,2.2,2.4,-0.2,0.0,2930.0,3540.0
Nhava Sheva (JNPT),Charleston,US East Coast,suez_panama,3,2026-08,1,3224.0,3307.0,2.6,2.4,0.2,0.0,2833.0,3541.0
Nhava Sheva (JNPT),Baltimore,US East Coast,suez_panama,3,2026-08,1,3520.0,3608.0,2.5,2.4,0.1,0.0,3107.0,3855.0
Nhava Sheva (JNPT),Houston,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,3515.0,3591.0,2.2,2.2,0.0,0.0,3158.0,3804.0
Nhava Sheva (JNPT),New Orleans,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,3407.0,3482.0,2.2,2.2,0.0,0.0,3055.0,3692.0
Nhava Sheva (JNPT),Cartagena,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,2799.0,2859.0,2.1,2.2,-0.0,0.0,2517.0,3028.0
Nhava Sheva (JNPT),Balboa,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,2599.0,2659.0,2.3,2.2,0.2,0.0,2316.0,2828.0
Nhava Sheva (JNPT),Kingston,US Gulf / Caribbean / Latin America,panama,5,2026-08,1,2555.0,2610.0,2.2,2.2,0.0,0.0,2296.0,2765.0
Nhava Sheva (JNPT),Lagos,Africa / South America (Cape),cape_route,4,2026-08,1,2587.0,2615.0,1.1,1.1,-0.1,0.0,2456.0,2693.0
Nhava Sheva (JNPT),Tema,Africa / South America (Cape),cape_route,4,2026-08,1,2761.0,2790.0,1.0,1.1,-0.1,0.0,2626.0,2871.0
Nhava Sheva (JNPT),Durban,Africa / South America (Cape),cape_route,4,2026-08,1,2180.0,2206.0,1.2,1.1,0.0,0.0,2058.0,2279.0
Nhava Sheva (JNPT),Cape Town,Africa / South America (Cape),cape_route,4,2026-08,1,2198.0,2226.0,1.3,1.1,0.1,0.0,2065.0,2306.0
Nhava Sheva (JNPT),Santos,Africa / South America (Cape),cape_route,4,2026-08,1,2702.0,2736.0,1.2,1.1,0.1,0.0,2543.0,2830.0
Nhava Sheva (JNPT),Buenos Aires,Africa / South America (Cape),cape_route,4,2026-08,1,3174.0,3204.0,0.9,1.1,-0.2,0.0,3035.0,3287.0
Nhava Sheva (JNPT),Mombasa,Indian Ocean Rim,indian_ocean,1,2026-08,1,773.0,786.0,1.6,1.4,-0.1,0.3,727.0,815.0
Nhava Sheva (JNPT),Dar es Salaam,Indian Ocean Rim,indian_ocean,1,2026-08,1,820.0,833.0,1.6,1.4,-0.1,0.3,772.0,864.0
Nhava Sheva (JNPT),Colombo,Indian Ocean Rim,indian_ocean,1,2026-08,1,556.0,565.0,1.6,1.4,-0.1,0.3,524.0,585.0
Nhava Sheva (JNPT),Port Louis,Indian Ocean Rim,indian_ocean,1,2026-08,1,992.0,1009.0,1.7,1.4,0.0,0.3,929.0,1049.0
Nhava Sheva (JNPT),Karachi,Indian Ocean Rim,indian_ocean,1,2026-08,1,610.0,621.0,1.9,1.4,0.2,0.3,567.0,648.0
Nhava Sheva (JNPT),Los Angeles/Long Beach,Pacific (US West / Oceania),pacific,3,2026-08,1,2124.0,2148.0,1.1,1.1,-0.0,0.0,2011.0,2215.0
Nhava Sheva (JNPT),Oakland,Pacific (US West / Oceania),pacific,3,2026-08,1,2210.0,2234.0,1.1,1.1,-0.0,0.0,2097.0,2302.0
Nhava Sheva (JNPT),Seattle/Tacoma,Pacific (US West / Oceania),pacific,3,2026-08,1,2032.0,2054.0,1.1,1.1,-0.1,0.0,1930.0,2115.0
Nhava Sheva (JNPT),Vancouver,Pacific (US West / Oceania),pacific,3,2026-08,1,2239.0,2266.0,1.2,1.1,0.1,0.0,2110.0,2343.0
Nhava Sheva (JNPT),Melbourne,Pacific (US West / Oceania),pacific,3,2026-08,1,1928.0,1949.0,1.1,1.1,-0.0,0.0,1829.0,2008.0
Nhava Sheva (JNPT),Sydney,Pacific (US West / Oceania),pacific,3,2026-08,1,2105.0,2127.0,1.0,1.1,-0.1,0.0,2002.0,2189.0
Nhava Sheva (JNPT),Auckland,Pacific (US West / Oceania),pacific,3,2026-08,1,2026.0,2046.0,1.0,1.1,-0.2,0.0,1934.0,2101.0
Nhava Sheva (JNPT),Singapore,Intra-Asia,intra_asia,1,2026-08,1,480.0,485.0,1.0,0.9,0.1,0.0,458.0,497.0
Nhava Sheva (JNPT),Port Klang,Intra-Asia,intra_asia,1,2026-08,1,447.0,451.0,0.8,0.9,-0.0,0.0,429.0,461.0
Nhava Sheva (JNPT),Laem Chabang,Intra-Asia,intra_asia,1,2026-08,1,570.0,573.0,0.6,0.9,-0.3,0.0,555.0,582.0
Nhava Sheva (JNPT),Ho Chi Minh City (Cat Lai),Intra-Asia,intra_asia,1,2026-08,1,602.0,608.0,1.0,0.9,0.1,0.0,575.0,624.0
Nhava Sheva (JNPT),Shanghai,Intra-Asia,intra_asia,1,2026-08,1,723.0,730.0,0.9,0.9,0.0,0.0,692.0,748.0
Nhava Sheva (JNPT),Ningbo,Intra-Asia,intra_asia,1,2026-08,1,812.0,817.0,0.6,0.9,-0.3,0.0,789.0,830.0
Nhava Sheva (JNPT),Yantian (Shenzhen),Intra-Asia,intra_asia,1,2026-08,1,737.0,743.0,0.8,0.9,-0.0,0.0,708.0,760.0
Nhava Sheva (JNPT),Busan,Intra-Asia,intra_asia,1,2026-08,1,937.0,944.0,0.7,0.9,-0.2,0.0,905.0,963.0
Nhava Sheva (JNPT),Yokohama,Intra-Asia,intra_asia,1,2026-08,1,950.0,958.0,0.8,0.9,-0.1,0.0,914.0,979.0
ICD Tihi,Jebel Ali,Middle East,hormuz,6,2026-08,1,1053.0,1096.0,4.1,4.1,0.0,0.0,848.0,1219.0
ICD Tihi,Dammam,Middle East,hormuz,6,2026-08,1,1131.0,1177.0,4.1,4.1,-0.0,0.0,912.0,1308.0
ICD Tihi,Bandar Abbas,Middle East,hormuz,6,2026-08,1,1151.0,1199.0,4.1,4.1,0.0,0.0,927.0,1333.0
ICD Tihi,Kuwait City,Middle East,hormuz,6,2026-08,1,1047.0,1090.0,4.1,4.1,0.0,0.0,843.0,1212.0
ICD Tihi,Hamad Port (Doha),Middle East,hormuz,6,2026-08,1,1027.0,1070.0,4.2,4.1,0.0,0.0,826.0,1190.0
ICD Tihi,Sohar,Middle East,hormuz,6,2026-08,1,1069.0,1114.0,4.2,4.1,0.1,0.0,857.0,1241.0
ICD Tihi,Jeddah,Red Sea / East Africa,red_sea,0,2026-08,1,1236.0,1287.0,4.1,4.1,0.0,0.0,997.0,1429.0
ICD Tihi,Port Sudan,Red Sea / East Africa,red_sea,0,2026-08,1,1690.0,1758.0,4.0,4.1,-0.1,0.0,1370.0,1949.0
ICD Tihi,Djibouti,Red Sea / East Africa,red_sea,0,2026-08,1,1534.0,1597.0,4.1,4.1,0.0,0.0,1236.0,1775.0
ICD Tihi,Aqaba,Red Sea / East Africa,red_sea,0,2026-08,1,1502.0,1564.0,4.1,4.1,0.0,0.0,1211.0,1738.0
ICD Tihi,Suez,Red Sea / East Africa,red_sea,0,2026-08,1,1676.0,1745.0,4.1,4.1,0.0,0.0,1353.0,1937.0
ICD Tihi,Piraeus,Europe (Mediterranean),suez,2,2026-08,1,2496.0,2592.0,3.8,3.9,-0.0,0.0,2044.0,2862.0
ICD Tihi,Genoa,Europe (Mediterranean),suez,2,2026-08,1,2637.0,2736.0,3.8,3.9,-0.1,0.0,2171.0,3014.0
ICD Tihi,Barcelona,Europe (Mediterranean),suez,2,2026-08,1,2663.0,2768.0,3.9,3.9,0.1,0.0,2170.0,3062.0
ICD Tihi,Marseille,Europe (Mediterranean),suez,2,2026-08,1,2787.0,2897.0,3.9,3.9,0.1,0.0,2269.0,3206.0
ICD Tihi,Valencia,Europe (Mediterranean),suez,2,2026-08,1,2686.0,2790.0,3.9,3.9,0.0,0.0,2196.0,3083.0
