region,n_lanes,region_beta,premium_min,premium_median,premium_max
Middle East,18,2.6076144067796596,-0.042120056497175096,2.220446049250313e-16,0.05743644067796616
Red Sea / East Africa,15,2.588468926553671,-0.061265536723163816,0.0,0.06126553672316426
Europe (North),15,2.4506214689265526,-0.053607344632768505,0.0,0.13784745762711825
Europe (Mediterranean),21,2.4506214689265526,-0.09955649717514126,0.0,0.13784745762711825
US East Coast,15,1.5163220338983043,-0.13018926553672294,0.0,0.11487288135593232
US Gulf / Caribbean / Latin America,15,1.3631581920903948,-0.09955649717514126,0.0,0.09955649717514126
Indian Ocean Rim,15,0.8960084745762708,-0.0842401129943503,0.0,0.12253107344632774
Africa / South America (Cape),18,0.7198700564971748,-0.13018926553672316,0.0,0.1148728813559321
Pacific (US West / Oceania),21,0.7198700564971748,-0.10721468926553668,0.0,0.2297457627118643
Intra-Asia,27,0.5513898305084743,-0.19145480225988692,0.0,0.16082203389830507
