origin,destination,region,route_exposure,cluster,month,horizon,current_rate_usd_feu,forecast_rate_usd_feu,pct_change,regional_pct_change,lane_premium_pct_change,seasonal_pct_change,low_rate_usd_feu,high_rate_usd_feu
Nhava Sheva (JNPT),Jebel Ali,Middle East,hormuz,6,2026-08,1,868.0,904.0,4.1,4.1,-0.0,0.0,727.0,1005.0
Nhava Sheva (JNPT),Dammam,Middle East,hormuz,6,2026-08,1,946.0,985.0,4.1,4.1,-0.0,0.0,792.0,1095.0
Nhava Sheva (JNPT),Bandar Abbas,Middle East,hormuz,6,2026-08,1,966.0,1006.0,4.2,4.1,0.0,0.0,806.0,1122.0
Nhava Sheva (JNPT),Kuwait City,Middle East,hormuz,6,2026-08,1,862.0,897.0,4.1,4.1,-0.0,0.0,721.0,999.0
Nhava Sheva (JNPT),Hamad Port (Doha),Middle East,hormuz,6,2026-08,1,842.0,877.0,4.2,4.1,0.1,0.0,701.0,979.0
Nhava Sheva (JNPT),Sohar,Middle East,hormuz,6,2026-08,1,884.0,920.0,4.1,4.1,-0.0,0.0,739.0,1025.0
Nhava Sheva (JNPT),Jeddah,Red Sea / East Africa,red_sea,0,2026-08,1,1051.0,1094.0,4.1,4.1,0.0,0.0,880.0,1217.0
Nhava Sheva (JNPT),Port Sudan,Red Sea / East Africa,red_sea,0,2026-08,1,1505.0,1565.0,4.0,4.1,-0.1,0.0,1266.0,1737.0
Nhava Sheva (JNPT),Djibouti,Red Sea / East Africa,red_sea,0,2026-08,1,1349.0,1404.0,4.1,4.1,-0.0,0.0,1131.0,1560.0
Nhava Sheva (JNPT),Aqaba,Red Sea / East Africa,red_sea,0,2026-08,1,1317.0,1371.0,4.1,4.1,0.0,0.0,1103.0,1525.0
Nhava Sheva (JNPT),Suez,Red Sea / East Africa,red_sea,0,2026-08,1,1491.0,1552.0,4.1,4.1,0.0,0.0,1247.0,1728.0
Nhava Sheva (JNPT),Piraeus,Europe (Mediterranean),suez,2,2026-08,1,2311.0,2399.0,3.8,3.9,-0.1,0.0,1961.0,2651.0
Nhava Sheva (JNPT),Genoa,Europe (Mediterranean),suez,2,2026-08,1,2452.0,2547.0,3.9,3.9,0.0,0.0,2074.0,2819.0
Nhava Sheva (JNPT),Barcelona,Europe (Mediterranean),suez,2,2026-08,1,2478.0,2575.0,3.9,3.9,0.0,0.0,2091.0,2854.0
Nhava Sheva (JNPT),Marseille,Europe (Mediterranean),suez,2,2026-08,1,2602.0,2705.0,4.0,3.9,0.1,0.0,2192.0,3000.0
Nhava Sheva (JNPT),Valencia,Europe (Mediterranean),suez,2,2026-08,1,2501.0,2597.0,3.8,3.9,-0.0,0.0,2119.0,2872.0
Nhava Sheva (JNPT),Gioia Tauro,Europe (Mediterranean),suez,2,2026-08,1,2648.0,2753.0,4.0,3.9,0.1,0.0,2231.0,3053.0
Nhava Sheva (JNPT),Ambarli (Istanbul),Europe (Mediterranean),suez,2,2026-08,1,2467.0,2560.0,3.8,3.9,-0.1,0.0,2098.0,2825.0
Nhava Sheva (JNPT),Rotterdam,Europe (North),suez,2,2026-08,1,3120.0,3240.0,3.8,3.9,-0.0,0.0,2643.0,3583.0
Nhava Sheva (JNPT),Hamburg,Europe (North),suez,2,2026-08,1,3395.0,3531.0,4.0,3.9,0.1,0.0,2854.0,3921.0
Nhava Sheva (JNPT),Antwerp,Europe (North),suez,2,2026-08,1,2975.0,3092.0,3.9,3.9,0.1,0.0,2509.0,3427.0
